,Highest Offense Description,Family Violence,Occurred Date,Location Type,Zip Code,Latitude,Longitude
34995,FAMILY DISTURBANCE,N,2021-06-20,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78745,30.19818661,-97.76915525
36016,BURGLARY OF VEHICLE,N,2020-04-03,PARKING /DROP LOT/ GARAGE,78759,30.41296623,-97.71999667
36026,THEFT,N,2021-10-14,OTHER / UNKNOWN,78613,30.47734224,-97.80298245
36245,THEFT,N,2021-10-14,SPECIALTY  STORE,78759,30.39031042,-97.74041376
36739,CRIMINAL MISCHIEF,N,2021-03-16,PARK / PLAYGROUND,78724,30.32416149,-97.6771224
36780,THEFT,N,2019-08-15,SCHOOL - ELEMENTARY / SECONDARY,78724,30.32416149,-97.6771224
37391,BURGLARY OF VEHICLE,N,2019-10-15,SCHOOL - ELEMENTARY / SECONDARY,78724,30.32416149,-97.6771224
37934,FAMILY DISTURBANCE,N,2021-09-21,RESIDENCE / HOME,78744,30.18854871,-97.7645862
38553,CRIMINAL MISCHIEF,N,2020-11-25,HOTEL / MOTEL / ETC.,78741,30.24481559,-97.72408165
38834,THEFT,N,2020-12-01,HOTEL / MOTEL / ETC.,78724,30.32160086,-97.69844669
39021,BURGLARY OF VEHICLE,N,2019-02-14,RESIDENCE / HOME,78724,30.32160086,-97.69844669
39463,FAMILY DISTURBANCE,N,2020-11-21,RESIDENCE / HOME,78759,30.40363228,-97.7481402
40191,BURGLARY OF VEHICLE,N,2021-10-13,HOTEL / MOTEL / ETC.,78724,30.32160086,-97.69844669
40255,BURGLARY OF VEHICLE,N,2019-01-30,PARKING /DROP LOT/ GARAGE,78723,30.27360513,-97.73133302
40573,FAMILY DISTURBANCE,N,2021-10-02,RESIDENCE / HOME,78748,30.1403564,-97.80051916
41283,BURGLARY OF VEHICLE,N,2020-11-06,PARKING /DROP LOT/ GARAGE,78758,30.38146278,-97.71348762
42834,CRIMINAL MISCHIEF,N,2021-11-28,OTHER / UNKNOWN,78744,30.19723683,-97.70844003
44579,BURGLARY OF VEHICLE,n,2021-03-16,COMMERCIAL / OFFICE BUILDING,78751,30.30354466,-97.73726456
45086,CRIMINAL MISCHIEF,N,2021-07-24,SPECIALTY  STORE,78744,30.16294797,-97.78697574
45512,CRIMINAL MISCHIEF,N,2020-11-22,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.27112118,-97.73226184
46232,FAMILY DISTURBANCE,N,2020-11-15,RESIDENCE / HOME,78729,30.43815984,-97.77599358
47459,THEFT,N,2019-08-22,RESIDENCE / HOME,78725,30.23884545,-97.57666007
47477,CRIMINAL MISCHIEF,N,2021-12-27,COMMERCIAL / OFFICE BUILDING,78724,30.32144583,-97.69692601
47948,FAMILY DISTURBANCE,N,2021-01-11,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78721,30.27344188,-97.66878358
48279,THEFT,N,2021-06-23,GOVERNMENT / PUBLIC BUILDING,78758,30.37441318,-97.72520947
48484,FAMILY DISTURBANCE,N,2020-04-24,RESIDENCE / HOME,78744,30.17654144,-97.77877028
50377,THEFT,N,2019-09-07,RESIDENCE / HOME,78722,30.2941989,-97.71697195
50866,CRIMINAL MISCHIEF,N,2019-09-22,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78745,30.19511483,-97.79193142
51232,BURGLARY OF VEHICLE,N,2019-08-07,RESIDENCE / HOME,78754,30.37429846,-97.65096125
51473,THEFT,N,2019-05-19,CONSTRUCTION SITE,78744,30.19723683,-97.70844003
51616,BURGLARY OF VEHICLE,N,2019-09-03,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78758,30.36926216,-97.69510501
51702,THEFT,N,2021-12-07,SPECIALTY  STORE,78723,30.30178349,-97.69866762
52619,CRIMINAL MISCHIEF,N,2020-01-15,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78748,30.15364496,-97.83377398
52957,CRIMINAL MISCHIEF,N,2021-10-02,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.27112118,-97.73226184
53103,THEFT,N,2020-01-01,RESIDENCE / HOME,78748,30.15816607,-97.83601171
53557,THEFT,n,2021-01-01,SPECIALTY  STORE,78704,30.24619827,-97.75610883
55707,THEFT,N,2020-01-01,COMMERCIAL / OFFICE BUILDING,78723,30.31580075,-97.70570296
56517,FAMILY DISTURBANCE,N,2019-09-17,RESIDENCE / HOME,78617,30.17423044,-97.61294451
57915,FAMILY DISTURBANCE,N,2019-09-10,RESIDENCE / HOME,78744,30.19705548,-97.69693575
58071,CRIMINAL MISCHIEF,N,2020-06-08,HOTEL / MOTEL / ETC.,78753,30.34430294,-97.69766805
58109,FAMILY DISTURBANCE,N,2019-09-28,RESIDENCE / HOME,78744,30.18739938,-97.76364167
58397,FAMILY DISTURBANCE,N,2019-09-03,RESIDENCE / HOME,78617,30.1705131,-97.61701541
59165,BURGLARY OF VEHICLE,N,2019-09-26,PARKING /DROP LOT/ GARAGE,78759,30.43311021,-97.76717392
59210,CRIMINAL MISCHIEF,N,2019-07-09,RESIDENCE / HOME,78723,30.31663094,-97.66269304
59391,FAMILY DISTURBANCE,N,2019-09-09,RESIDENCE / HOME,78759,30.40728402,-97.74960661
59831,FAMILY DISTURBANCE,N,2019-09-14,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78727,30.4175429,-97.68471697
59991,FAMILY DISTURBANCE,N,2020-11-10,RESIDENCE / HOME,78753,30.39605838,-97.66739371
60219,THEFT,N,2021-09-20,RESIDENCE / HOME,78747,30.14746632,-97.79332658
60468,BURGLARY OF VEHICLE,N,2021-04-09,RESIDENCE / HOME,78758,30.36386794,-97.71318215
61075,THEFT,N,2021-07-24,RESIDENCE / HOME,78750,30.37744203,-97.80045864
62963,THEFT,n,2020-06-09,RESIDENCE / HOME,78723,30.30924337,-97.68562899
63090,CRIMINAL MISCHIEF,n,2021-02-01,RESIDENCE / HOME,78748,30.15884661,-97.82622729
63363,CRIMINAL MISCHIEF,N,2020-04-15,OTHER / UNKNOWN,78744,30.19723683,-97.70844003
64321,FAMILY DISTURBANCE,N,2021-09-10,RESIDENCE / HOME,78753,30.39566744,-97.67214463
64384,FAMILY DISTURBANCE,N,2019-12-13,RESIDENCE / HOME,78751,30.30827465,-97.7282871
65658,FAMILY DISTURBANCE,N,2019-08-15,RESIDENCE / HOME,78702,30.25767099,-97.71896927
67313,THEFT,N,2021-02-18,GROCERY / SUPERMARKET,78717,30.47599917,-97.79652419
68274,THEFT,N,2019-05-01,COMMERCIAL / OFFICE BUILDING,78754,30.3351147,-97.66287894
68292,THEFT,N,2019-11-01,CONVENIENCE STORE,78702,30.26577748,-97.73403439
68388,THEFT,N,2021-06-15,COMMERCIAL / OFFICE BUILDING,78722,30.29622061,-97.71765563
69041,THEFT,N,2021-10-11,COMMERCIAL / OFFICE BUILDING,78753,30.37637243,-97.67780325
69080,THEFT,N,2020-06-15,RESIDENCE / HOME,78653,30.34126447,-97.61004159
69211,THEFT,N,2020-11-11,CONVENIENCE STORE,78749,30.23070486,-97.82042821
69523,THEFT,N,2020-12-21,CONSTRUCTION SITE,78704,30.23113653,-97.78147219
70373,THEFT,N,2020-07-04,RESTAURANT,78701,30.26829207,-97.75162174
70840,CRIMINAL MISCHIEF,N,2020-06-22,RESIDENCE / HOME,78753,30.35644037,-97.68685154
74557,FAMILY DISTURBANCE,N,2020-10-29,RESIDENCE / HOME,78745,30.18560098,-97.77643184
75018,THEFT,N,2021-10-24,RESIDENCE / HOME,78729,30.45842678,-97.76536944
75245,THEFT,N,2019-07-19,HOTEL / MOTEL / ETC.,78745,30.22880661,-97.78947077
76563,FAMILY DISTURBANCE,N,2021-02-02,RESIDENCE / HOME,78617,30.17078883,-97.61964129
76859,THEFT,N,2020-05-28,AIR / BUS / TRAIN TERMINAL,78719,30.20200809,-97.6668813
77135,FAMILY DISTURBANCE,N,2020-10-19,RESIDENCE / HOME,78745,30.19084407,-97.77786025
77401,FAMILY DISTURBANCE,N,2020-11-27,RESIDENCE / HOME,78741,30.22668835,-97.72571472
77465,FAMILY DISTURBANCE,N,2021-07-17,BAR / NIGHTCLUB,78723,30.30965417,-97.66630649
77584,THEFT,N,2021-08-07,RESIDENCE / HOME,78754,30.37224488,-97.66128614
77602,FAMILY DISTURBANCE,N,2020-11-28,RESIDENCE / HOME,78617,30.17309814,-97.61001031
77633,THEFT,N,2021-01-03,AIR / BUS / TRAIN TERMINAL,78719,30.20200809,-97.6668813
77840,FAMILY DISTURBANCE,N,2020-10-05,RESIDENCE / HOME,78754,30.32994363,-97.64208015
77856,THEFT,N,2021-02-02,OTHER / UNKNOWN,78719,30.20200809,-97.6668813
78133,THEFT,N,2021-07-02,DEPARTMENT / DISCOUNT STORE,78742,30.24554936,-97.68026683
78304,CRIMINAL MISCHIEF,N,2021-08-04,PARKING /DROP LOT/ GARAGE,78753,30.38967564,-97.6727383
80098,CRIMINAL MISCHIEF,N,2021-11-04,FIELD / WOODS,78731,30.33920792,-97.77887033
80448,THEFT,N,2021-06-29,BANK / SAVINGS & LOAN,78704,30.25614721,-97.76561058
81641,BURGLARY OF VEHICLE,N,2020-07-04,PARKING /DROP LOT/ GARAGE,78703,30.29643003,-97.78276945
83842,THEFT,N,2021-12-05,RENTAL STORAGE FACILITY,78751,30.2976445,-97.71869468
85856,THEFT,N,2020-01-01,OTHER / UNKNOWN,78757,30.33978133,-97.7253784
86577,THEFT,n,2020-08-21,RESIDENCE / HOME,78704,30.2432944,-97.75517583
86708,CRIMINAL MISCHIEF,N,2020-12-24,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.27556013,-97.73076699
88821,CRIMINAL MISCHIEF,N,2021-07-22,RENTAL STORAGE FACILITY,78702,30.26908233,-97.73140739
91159,BURGLARY OF VEHICLE,N,2019-02-10,OTHER / UNKNOWN,78705,30.28204807,-97.74175323
91305,THEFT,N,2019-09-21,OTHER / UNKNOWN,78751,30.32275187,-97.72230694
91691,CRIMINAL MISCHIEF,N,2020-08-01,RESIDENCE / HOME,78731,30.35343242,-97.78729715
93176,THEFT,N,2019-06-02,GAMBLING FACILITY / CASINO / RACE TRACK,78753,30.37660976,-97.68929251
94983,THEFT,N,2021-08-04,PARKING /DROP LOT/ GARAGE,78723,30.29275229,-97.720751
95276,BURGLARY OF VEHICLE,N,2021-12-26,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.26091242,-97.73554041
96556,THEFT,N,2020-03-02,RESIDENCE / HOME,78757,30.34170497,-97.73546075
97911,THEFT,N,2021-09-30,RESIDENCE / HOME,78705,30.28890669,-97.75207498
98709,BURGLARY OF VEHICLE,N,2019-10-05,PARK / PLAYGROUND,78749,30.21405194,-97.86240836
98802,THEFT,N,2020-03-19,RESTAURANT,78705,30.28793997,-97.74260283
99967,THEFT,N,2020-06-09,GROCERY / SUPERMARKET,78749,30.21577256,-97.82978492
100050,THEFT,N,2021-12-08,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78758,30.39961973,-97.72329016
100250,BURGLARY OF VEHICLE,N,2021-08-29,RESIDENCE / HOME,78704,30.2398838,-97.73854831
101166,THEFT,N,2021-12-31,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26584235,-97.73859205
103182,FAMILY DISTURBANCE,N,2021-01-24,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.21987392,-97.69233836
104287,BURGLARY OF VEHICLE,N,2021-03-22,PARKING /DROP LOT/ GARAGE,78704,30.24996002,-97.76552484
104919,THEFT,N,2020-03-17,HOTEL / MOTEL / ETC.,78744,30.20482895,-97.75779826
104999,THEFT,N,2020-11-11,ATM SEPARATE FROM BANK,78759,30.39399818,-97.75171077
105104,THEFT,N,2019-09-18,OTHER / UNKNOWN,78702,30.27613543,-97.70022954
106054,FAMILY DISTURBANCE,N,2021-01-16,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.17654144,-97.77877028
106141,FAMILY DISTURBANCE,N,2020-10-12,RESIDENCE / HOME,78744,30.17654144,-97.77877028
106164,THEFT,N,2020-11-04,COMMERCIAL / OFFICE BUILDING,78744,30.17654144,-97.77877028
106294,BURGLARY OF VEHICLE,N,2020-04-15,PARKING /DROP LOT/ GARAGE,78744,30.17624854,-97.77897745
106329,FAMILY DISTURBANCE,N,2021-07-09,RESIDENCE / HOME,78744,30.17624854,-97.77897745
106336,THEFT,N,2020-12-08,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.17654144,-97.77877028
106473,FAMILY DISTURBANCE,N,2019-12-17,RESIDENCE / HOME,78744,30.17654144,-97.77877028
106516,FAMILY DISTURBANCE,N,2021-04-03,RESIDENCE / HOME,78744,30.17624854,-97.77897745
106598,CRIMINAL MISCHIEF,N,2020-12-13,PARKING /DROP LOT/ GARAGE,78744,30.17654144,-97.77877028
106614,BURGLARY OF VEHICLE,N,2020-08-19,RESIDENCE / HOME,78744,30.17624854,-97.77897745
106889,CRIMINAL MISCHIEF,N,2020-03-31,RESIDENCE / HOME,78744,30.17654144,-97.77877028
107053,FAMILY DISTURBANCE,N,2020-08-07,RESIDENCE / HOME,78744,30.17654144,-97.77877028
107172,CRIMINAL MISCHIEF,N,2019-10-31,RESIDENCE / HOME,78744,30.17624854,-97.77897745
107368,FAMILY DISTURBANCE,N,2019-08-15,RESIDENCE / HOME,78744,30.17624854,-97.77897745
107382,FAMILY DISTURBANCE,N,2019-11-11,RESIDENCE / HOME,78744,30.17624854,-97.77897745
107401,BURGLARY OF VEHICLE,N,2020-06-18,OTHER / UNKNOWN,78744,30.17654144,-97.77877028
107442,FAMILY DISTURBANCE,N,2020-04-03,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.17624854,-97.77897745
107457,BURGLARY OF VEHICLE,N,2020-01-31,RESIDENCE / HOME,78744,30.17654144,-97.77877028
107592,BURGLARY OF VEHICLE,N,2019-10-19,RESIDENCE / HOME,78744,30.17624854,-97.77897745
107622,BURGLARY OF VEHICLE,N,2019-10-06,PARKING /DROP LOT/ GARAGE,78744,30.17624854,-97.77897745
107669,BURGLARY OF VEHICLE,N,2020-05-19,PARKING /DROP LOT/ GARAGE,78744,30.17624854,-97.77897745
107784,CRIMINAL MISCHIEF,N,2021-04-20,COMMERCIAL / OFFICE BUILDING,78754,30.34047446,-97.67754207
107814,FAMILY DISTURBANCE,N,2021-03-18,RESIDENCE / HOME,78744,30.17654144,-97.77877028
107834,BURGLARY OF VEHICLE,N,2019-11-27,PARKING /DROP LOT/ GARAGE,78744,30.17654144,-97.77877028
107852,FAMILY DISTURBANCE,N,2021-10-18,RESIDENCE / HOME,78744,30.17624854,-97.77897745
107886,BURGLARY OF VEHICLE,N,2020-09-05,PARKING /DROP LOT/ GARAGE,78744,30.17654144,-97.77877028
107951,BURGLARY OF VEHICLE,N,2020-06-25,PARKING /DROP LOT/ GARAGE,78744,30.17654144,-97.77877028
108273,CRIMINAL MISCHIEF,N,2019-09-05,PARKING /DROP LOT/ GARAGE,78744,30.17624854,-97.77897745
109292,THEFT,N,2021-06-01,RENTAL STORAGE FACILITY,78751,30.30442487,-97.71428572
110936,THEFT,N,2019-08-26,OTHER / UNKNOWN,78744,30.16103508,-97.78787119
111409,THEFT,N,2019-03-02,RESIDENCE / HOME,78729,30.43824117,-97.7680784
112116,CRIMINAL MISCHIEF,N,2020-05-09,CONVENIENCE STORE,78723,30.30825459,-97.67108733
112167,THEFT,N,2019-05-17,RESIDENCE / HOME,78753,30.40890225,-97.66538527
112200,BURGLARY OF VEHICLE,N,2021-05-12,PARKING /DROP LOT/ GARAGE,78617,30.2047188,-97.63309584
112202,CRIMINAL MISCHIEF,N,2020-10-14,OTHER / UNKNOWN,78736,30.24744082,-97.89040911
112240,FAMILY DISTURBANCE,N,2021-02-10,RESIDENCE / HOME,78752,30.33174263,-97.68835022
112314,BURGLARY OF VEHICLE,N,2020-07-14,RESIDENCE / HOME,78753,30.41019764,-97.67837875
112382,BURGLARY OF VEHICLE,N,2019-12-02,RESIDENCE / HOME,78705,30.29006613,-97.75024068
112460,CRIMINAL MISCHIEF,N,2020-05-11,OTHER / UNKNOWN,78752,30.3342784,-97.70721311
112510,FAMILY DISTURBANCE,N,2021-05-17,RESIDENCE / HOME,78753,30.39295402,-97.67684845
112555,FAMILY DISTURBANCE,N,2019-10-03,RESIDENCE / HOME,78749,30.22504417,-97.87811114
112572,BURGLARY OF VEHICLE,N,2020-04-25,PARKING /DROP LOT/ GARAGE,78736,30.23697855,-97.89934928
112609,BURGLARY OF VEHICLE,N,2020-08-11,HOTEL / MOTEL / ETC.,78753,30.33802276,-97.69507465
112612,CRIMINAL MISCHIEF,N,2019-11-02,COMMERCIAL / OFFICE BUILDING,78702,30.26280696,-97.72198906
112621,FAMILY DISTURBANCE,N,2019-08-03,RESIDENCE / HOME,78723,30.30238108,-97.68482515
112656,BURGLARY OF VEHICLE,N,2020-01-08,PARKING /DROP LOT/ GARAGE,78759,30.3999032,-97.7394387
112669,THEFT,N,2019-11-18,RESIDENCE / HOME,78702,30.27625385,-97.70573055
112713,THEFT,N,2021-11-30,RESIDENCE / HOME,78748,30.18457006,-97.81195353
112722,CRIMINAL MISCHIEF,N,2020-10-29,PARKING /DROP LOT/ GARAGE,78758,30.37119483,-97.71452465
112727,THEFT,N,2019-11-29,RESIDENCE / HOME,78748,30.15665363,-97.80422852
112781,THEFT,N,2020-03-18,PARK / PLAYGROUND,78702,30.24964396,-97.72483186
112826,THEFT,N,2021-04-21,RESIDENCE / HOME,78721,30.27185663,-97.69304878
112848,FAMILY DISTURBANCE,N,2019-05-07,RESIDENCE / HOME,78747,30.1491934,-97.73740048
112879,THEFT,N,2021-07-25,RESIDENCE / HOME,78723,30.31651937,-97.69235612
112896,CRIMINAL MISCHIEF,N,2020-12-29,COMMERCIAL / OFFICE BUILDING,78758,30.40587642,-97.7153055
112906,FAMILY DISTURBANCE,N,2021-11-18,PARKING /DROP LOT/ GARAGE,78750,30.43983151,-97.77928207
112919,BURGLARY OF VEHICLE,N,2020-11-07,RESIDENCE / HOME,78754,30.35411082,-97.61401741
112927,FAMILY DISTURBANCE,N,2021-03-11,RESIDENCE / HOME,78723,30.32161289,-97.6800934
112934,FAMILY DISTURBANCE,N,2021-12-20,RESIDENCE / HOME,78744,30.19351301,-97.7329771
112940,CRIMINAL MISCHIEF,N,2019-03-14,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78759,30.38467462,-97.74434675
112944,BURGLARY OF VEHICLE,N,2020-05-10,RESIDENCE / HOME,78727,30.42592289,-97.72647204
112990,FAMILY DISTURBANCE,N,2020-11-23,RESIDENCE / HOME,78741,30.2316152,-97.73645832
112992,FAMILY DISTURBANCE,N,2021-12-19,RESIDENCE / HOME,78727,30.42092143,-97.70967318
113000,BURGLARY OF VEHICLE,N,2019-01-11,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78757,30.33510268,-97.7419134
113004,BURGLARY OF VEHICLE,N,2020-04-29,COMMERCIAL / OFFICE BUILDING,78758,30.41260065,-97.6958102
113073,THEFT,N,2020-03-05,SCHOOL - COLLEGE / UNIVERSITY,78752,30.32659332,-97.71781507
113078,BURGLARY OF VEHICLE,N,2019-03-03,DEPARTMENT / DISCOUNT STORE,78751,30.30046387,-97.71965158
113122,CRIMINAL MISCHIEF,N,2019-11-18,PARKING /DROP LOT/ GARAGE,78745,30.21659943,-97.79730708
113264,CRIMINAL MISCHIEF,N,2021-08-31,RESIDENCE / HOME,78749,30.23322022,-97.83668398
113286,FAMILY DISTURBANCE,N,2020-04-02,RESIDENCE / HOME,78727,30.41860008,-97.72843771
113316,FAMILY DISTURBANCE,N,2020-01-21,HOTEL / MOTEL / ETC.,78759,30.42798425,-97.75800809
113317,FAMILY DISTURBANCE,N,2020-07-01,RESIDENCE / HOME,78741,30.2156655,-97.70354685
113329,CRIMINAL MISCHIEF,N,2021-07-02,PARKING /DROP LOT/ GARAGE,78744,30.21431418,-97.74753209
113334,BURGLARY OF VEHICLE,N,2019-02-08,PARKING /DROP LOT/ GARAGE,78751,30.30914842,-97.73366499
113339,THEFT,N,2020-12-31,CONVENIENCE STORE,78741,30.23967702,-97.71823688
113386,FAMILY DISTURBANCE,N,2020-07-19,RESIDENCE / HOME,78723,30.2988068,-97.69488518
113405,FAMILY DISTURBANCE,N,2021-02-22,RESIDENCE / HOME,78758,30.37306027,-97.71738905
113416,CRIMINAL MISCHIEF,N,2019-03-28,OTHER / UNKNOWN,78745,30.20264034,-97.77030358
113418,THEFT,N,2021-06-30,COMMERCIAL / OFFICE BUILDING,78729,30.44258802,-97.77420642
113479,BURGLARY OF VEHICLE,N,2019-03-21,BAR / NIGHTCLUB,78723,30.31990868,-97.70430715
113492,FAMILY DISTURBANCE,N,2019-08-17,HOTEL / MOTEL / ETC.,78753,30.3564747,-97.69051681
113536,THEFT,N,2019-05-15,RESIDENCE / HOME,78741,30.22478961,-97.69704967
113573,BURGLARY OF VEHICLE,N,2019-09-09,RESTAURANT,78704,30.24128082,-97.7520176
113593,BURGLARY OF VEHICLE,N,2021-04-14,PARKING /DROP LOT/ GARAGE,78741,30.23509316,-97.71545645
113630,CRIMINAL MISCHIEF,N,2020-05-05,SPECIALTY  STORE,78703,30.2772745,-97.75079528
113644,BURGLARY OF VEHICLE,N,2019-01-18,OTHER / UNKNOWN,78753,30.41275054,-97.66117882
113662,BURGLARY OF VEHICLE,N,2019-12-05,COMMERCIAL / OFFICE BUILDING,78751,30.31381829,-97.73202707
113679,BURGLARY OF VEHICLE,N,2021-09-28,PARKING /DROP LOT/ GARAGE,78704,30.24989044,-97.7379151
113690,CRIMINAL MISCHIEF,N,2019-02-28,PARKING /DROP LOT/ GARAGE,78701,30.27680508,-97.73682072
113700,THEFT,N,2021-11-10,AIR / BUS / TRAIN TERMINAL,78753,30.33915243,-97.69116575
113749,FAMILY DISTURBANCE,N,2019-01-11,RESIDENCE / HOME,78744,30.16552618,-97.78510052
113779,THEFT,N,2019-11-16,RESIDENCE / HOME,78744,30.19754354,-97.76081673
113788,THEFT,N,2021-12-21,DEPARTMENT / DISCOUNT STORE,78758,30.40249501,-97.72050896
113812,FAMILY DISTURBANCE,N,2020-11-13,RESIDENCE / HOME,78759,30.38677337,-97.74653965
113856,BURGLARY OF VEHICLE,N,2019-06-21,PARK / PLAYGROUND,78744,30.16358776,-97.77878034
113858,FAMILY DISTURBANCE,N,2020-05-28,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78721,30.27012652,-97.69290915
113907,CRIMINAL MISCHIEF,N,2021-05-06,OTHER / UNKNOWN,78703,30.29197578,-97.76040422
113926,BURGLARY OF VEHICLE,N,2020-06-09,RESIDENCE / HOME,78748,30.18427105,-97.83204151
113968,CRIMINAL MISCHIEF,N,2020-07-26,RESIDENCE / HOME,78724,30.2943082,-97.62687156
113969,BURGLARY OF VEHICLE,N,2019-05-06,PARKING /DROP LOT/ GARAGE,78746,30.25849493,-97.80204559
114006,CRIMINAL MISCHIEF,N,2019-11-18,RESTAURANT,78702,30.26046527,-97.733699
114036,FAMILY DISTURBANCE,N,2021-09-14,RESIDENCE / HOME,78744,30.18782842,-97.76131283
114122,THEFT,N,2021-01-02,RESIDENCE / HOME,78741,30.24518463,-97.73032488
114144,BURGLARY OF VEHICLE,N,2021-09-20,PARKING /DROP LOT/ GARAGE,78741,30.23653697,-97.71329824
114175,BURGLARY OF VEHICLE,N,2020-09-16,RESIDENCE / HOME,78758,30.4015681,-97.72226333
114187,THEFT,N,2019-07-30,OTHER / UNKNOWN,78721,30.25139501,-97.69043394
114190,BURGLARY OF VEHICLE,N,2020-08-06,RESIDENCE / HOME,78723,30.32238174,-97.68082997
114225,CRIMINAL MISCHIEF,N,2020-02-19,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.2678836,-97.74650601
114230,BURGLARY OF VEHICLE,N,2020-07-16,HOTEL / MOTEL / ETC.,78744,30.20809475,-97.75526029
114240,BURGLARY OF VEHICLE,N,2019-03-18,RESIDENCE / HOME,78717,30.50149442,-97.76426875
114248,FAMILY DISTURBANCE,N,2021-03-14,RESIDENCE / HOME,78742,30.23937836,-97.68283109
114260,FAMILY DISTURBANCE,N,2021-01-14,RESIDENCE / HOME,78704,30.24194037,-97.75773026
114269,FAMILY DISTURBANCE,N,2019-02-06,RESIDENCE / HOME,78754,30.3805642,-97.65216055
114303,THEFT,N,2021-04-07,RESIDENCE / HOME,78758,30.37148551,-97.71717801
114326,THEFT,N,2019-10-15,RESIDENCE / HOME,78717,30.49575316,-97.78117207
114339,THEFT,N,2021-06-26,PARKING /DROP LOT/ GARAGE,78724,30.28987254,-97.62925249
114353,CRIMINAL MISCHIEF,N,2020-01-09,SPECIALTY  STORE,78745,30.17464907,-97.78428068
114354,CRIMINAL MISCHIEF,N,2021-01-12,RESIDENCE / HOME,78751,30.30161973,-97.7333448
114357,CRIMINAL MISCHIEF,N,2021-06-12,BAR / NIGHTCLUB,78748,30.17345309,-97.82593698
114376,THEFT,N,2020-11-26,RESIDENCE / HOME,78757,30.34490097,-97.74471341
114386,BURGLARY OF VEHICLE,N,2020-04-21,OTHER / UNKNOWN,78753,30.38491069,-97.67599459
114430,THEFT,N,2019-07-14,GROCERY / SUPERMARKET,78723,30.30178349,-97.69866762
114461,FAMILY DISTURBANCE,N,2020-10-28,RESIDENCE / HOME,78723,30.30981328,-97.68060169
114489,THEFT,N,2019-12-29,DEPARTMENT / DISCOUNT STORE,78753,30.33915243,-97.69116575
114494,BURGLARY OF VEHICLE,N,2021-11-11,HOTEL / MOTEL / ETC.,78741,30.21347737,-97.70547797
114537,THEFT,N,2019-04-20,RESIDENCE / HOME,78729,30.44443477,-97.77523664
114543,FAMILY DISTURBANCE,N,2019-09-27,RESIDENCE / HOME,78745,30.19084407,-97.77786025
114551,BURGLARY OF VEHICLE,N,2019-11-23,RESIDENCE / HOME,78731,30.34922301,-97.75501476
114601,FAMILY DISTURBANCE,N,2021-08-23,RESIDENCE / HOME,78745,30.20981961,-97.78634187
114620,BURGLARY OF VEHICLE,N,2021-03-19,PARKING /DROP LOT/ GARAGE,78701,30.26020456,-97.73793249
114621,FAMILY DISTURBANCE,N,2019-04-13,PARKING /DROP LOT/ GARAGE,78741,30.23422117,-97.72043394
114640,THEFT,N,2019-05-08,SPECIALTY  STORE,78757,30.37067212,-97.72572299
114697,BURGLARY OF VEHICLE,N,2020-11-13,RESIDENCE / HOME,78751,30.31300008,-97.73304451
114713,BURGLARY OF VEHICLE,N,2021-05-11,PARKING /DROP LOT/ GARAGE,78705,30.28842038,-97.74746098
114736,THEFT,N,2020-10-17,RESIDENCE / HOME,78741,30.22706771,-97.72624606
114782,THEFT,N,2019-08-15,COMMERCIAL / OFFICE BUILDING,78749,30.21577256,-97.82978492
114796,FAMILY DISTURBANCE,N,2019-04-07,RESIDENCE / HOME,78744,30.19474121,-97.75822865
114816,FAMILY DISTURBANCE,N,2019-10-06,RESIDENCE / HOME,78752,30.33555169,-97.69595077
114822,CRIMINAL MISCHIEF,N,2019-11-03,RESIDENCE / HOME,78753,30.39295402,-97.67684845
114830,THEFT,N,2019-04-13,RESIDENCE / HOME,78727,30.41172503,-97.6821478
114839,BURGLARY OF VEHICLE,N,2020-06-24,PARKING /DROP LOT/ GARAGE,78701,30.26809089,-97.75173802
114870,FAMILY DISTURBANCE,N,2019-10-29,RESIDENCE / HOME,78748,30.17766988,-97.84047433
114879,THEFT,N,2020-06-25,RESIDENCE / HOME,78704,30.22979266,-97.76679584
114900,BURGLARY OF VEHICLE,N,2020-09-30,PARKING /DROP LOT/ GARAGE,78731,30.32104847,-97.77354003
114907,FAMILY DISTURBANCE,N,2019-05-01,RESIDENCE / HOME,78749,30.23150211,-97.83743153
