,Highest Offense Description,Family Violence,Occurred Date,Location Type,Zip Code,Latitude,Longitude
634165,THEFT,N,2020-08-10,OTHER / UNKNOWN,78757,30.34422278,-97.73864642
634203,BURGLARY OF VEHICLE,N,2019-12-03,PARKING /DROP LOT/ GARAGE,78749,30.19860061,-97.84067831
634209,BURGLARY OF VEHICLE,N,2021-01-08,COMMERCIAL / OFFICE BUILDING,78729,30.46201062,-97.7933049
634232,FAMILY DISTURBANCE,N,2019-07-21,RESIDENCE / HOME,78745,30.21070869,-97.8214677
634277,BURGLARY OF VEHICLE,N,2021-08-20,PARKING /DROP LOT/ GARAGE,78759,30.40689651,-97.7186635
634287,BURGLARY OF VEHICLE,N,2019-06-22,PARKING /DROP LOT/ GARAGE,78744,30.17938079,-97.77579237
634288,THEFT,N,2019-04-29,RESIDENCE / HOME,78701,30.26835472,-97.73743455
634307,CRIMINAL MISCHIEF,N,2019-09-22,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78722,30.28793766,-97.72418678
634330,CRIMINAL MISCHIEF,N,2019-09-25,PARKING /DROP LOT/ GARAGE,78751,30.30046387,-97.71965158
634346,FAMILY DISTURBANCE,N,2021-05-03,RESIDENCE / HOME,78747,30.15318554,-97.74616408
634488,BURGLARY OF VEHICLE,N,2020-08-06,RESIDENCE / HOME,78731,30.35836724,-97.74937881
634502,THEFT,N,2019-10-05,CONSTRUCTION SITE,78745,30.21823649,-97.78307341
634514,CRIMINAL MISCHIEF,N,2020-06-10,COMMERCIAL / OFFICE BUILDING,78745,30.21487512,-97.76145719
634534,BURGLARY OF VEHICLE,N,2020-01-17,PARKING /DROP LOT/ GARAGE,78758,30.38092498,-97.70092107
634546,FAMILY DISTURBANCE,N,2019-10-20,RESIDENCE / HOME,78752,30.32755039,-97.69098571
634561,THEFT,N,2021-08-07,RESIDENCE / HOME,78741,30.23496305,-97.7183772
634564,FAMILY DISTURBANCE,N,2019-08-30,RESIDENCE / HOME,78744,30.21132903,-97.69062763
634636,BURGLARY OF VEHICLE,N,2019-02-17,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78703,30.27607568,-97.76024495
634674,THEFT,N,2019-10-20,RESIDENCE / HOME,78756,30.31844523,-97.74334351
634691,THEFT,N,2021-09-04,DEPARTMENT / DISCOUNT STORE,78750,30.44764136,-97.79030927
634704,FAMILY DISTURBANCE,N,2021-05-08,RESIDENCE / HOME,78727,30.41576707,-97.72031423
634758,BURGLARY OF VEHICLE,N,2019-03-17,RESIDENCE / HOME,78704,30.25698841,-97.75204121
634773,BURGLARY OF VEHICLE,N,2019-04-13,RESIDENCE / HOME,78722,30.2947287,-97.71449813
634780,FAMILY DISTURBANCE,N,2021-06-13,RESIDENCE / HOME,78705,30.29971311,-97.73684148
634792,FAMILY DISTURBANCE,N,2019-03-16,PARKING /DROP LOT/ GARAGE,78744,30.21824488,-97.68869977
634798,BURGLARY OF VEHICLE,N,2019-09-11,RESTAURANT,78704,30.24775128,-97.77128252
634801,FAMILY DISTURBANCE,N,2019-05-27,RESIDENCE / HOME,78753,30.36863764,-97.68468667
634824,FAMILY DISTURBANCE,N,2019-01-10,RESIDENCE / HOME,78745,30.22715584,-97.80304746
634876,FAMILY DISTURBANCE,N,2020-10-19,RESIDENCE / HOME,78758,30.3698269,-97.72000474
634906,FAMILY DISTURBANCE,N,2020-09-17,RESIDENCE / HOME,78744,30.17176027,-97.76757423
634910,FAMILY DISTURBANCE,N,2020-01-06,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78750,30.46042235,-97.80173145
634920,CRIMINAL MISCHIEF,N,2020-11-06,RESIDENCE / HOME,78741,30.23496305,-97.7183772
634936,FAMILY DISTURBANCE,N,2019-11-12,RESIDENCE / HOME,78753,30.39438783,-97.67065387
634941,THEFT,N,2021-09-04,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.27691713,-97.73950169
634950,FAMILY DISTURBANCE,N,2021-10-09,RESIDENCE / HOME,78749,30.20876706,-97.8502385
634966,BURGLARY OF VEHICLE,N,2021-08-26,RESIDENCE / HOME,78754,30.35973804,-97.66230501
634997,THEFT,N,2020-05-16,RENTAL STORAGE FACILITY,78744,30.16641189,-97.78441565
635004,CRIMINAL MISCHIEF,N,2019-12-09,RESIDENCE / HOME,78739,30.1886665,-97.92034311
635011,FAMILY DISTURBANCE,N,2020-02-07,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78704,30.23959723,-97.76897747
635026,FAMILY DISTURBANCE,N,2021-12-25,RESIDENCE / HOME,78741,30.23528825,-97.69306979
635103,BURGLARY OF VEHICLE,N,2021-12-21,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78731,30.35069116,-97.74802101
635109,BURGLARY OF VEHICLE,N,2020-06-25,PARKING /DROP LOT/ GARAGE,78744,30.19299708,-97.76505365
635110,BURGLARY OF VEHICLE,N,2021-01-20,HOTEL / MOTEL / ETC.,78753,30.34871974,-97.69497869
635117,CRIMINAL MISCHIEF,N,2020-10-07,COMMERCIAL / OFFICE BUILDING,78754,30.33286357,-97.68043716
635125,BURGLARY OF VEHICLE,N,2021-02-02,PARKING /DROP LOT/ GARAGE,78745,30.20146429,-97.79965482
635156,FAMILY DISTURBANCE,N,2021-03-07,RESIDENCE / HOME,78724,30.28734425,-97.64674456
635180,FAMILY DISTURBANCE,N,2019-09-30,RESIDENCE / HOME,78750,30.43421723,-97.7817288
635194,THEFT,N,2021-10-19,RESIDENCE / HOME,78757,30.34752187,-97.71678779
635230,BURGLARY OF VEHICLE,N,2019-04-15,OTHER / UNKNOWN,78701,30.27156981,-97.73539622
635255,CRIMINAL MISCHIEF,N,2020-04-18,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.2557944,-97.72041089
635266,THEFT,N,2020-12-28,RESIDENCE / HOME,78724,30.30413651,-97.62470991
635274,BURGLARY OF VEHICLE,N,2019-06-02,RESIDENCE / HOME,78741,30.23597678,-97.71859048
635281,FAMILY DISTURBANCE,N,2020-02-22,RESIDENCE / HOME,78745,30.21542447,-97.80089103
635292,BURGLARY OF VEHICLE,N,2020-11-20,RESIDENCE / HOME,78729,30.45208119,-97.76437984
